Classification,Year,Month,Province,City,Total AUOM Masked
Marine Paints,2023,5,CEBU,CONSOLACION," 66,720 "
Marine Paints,2023,6,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 66,450 "
Marine Paints,2023,6,MISAMIS ORIENTAL,JASAAN," 66,360 "
Marine Paints,2023,10,BATANGAS,BAUAN," 66,360 "
Marine Paints,2022,5,CEBU,CONSOLACION," 66,150 "
Marine Paints,2023,4,CEBU,SAN FERNANDO," 66,135 "
Marine Paints,2022,4,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 65,940 "
Marine Paints,2022,7,CAVITE,CITY OF GENERAL TRIAS," 65,880 "
Marine Paints,2023,5,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MARIKINA," 65,820 "
Marine Paints,2023,11,CEBU,MANDAUE CITY," 65,340 "
Marine Paints,2023,9,MISAMIS ORIENTAL,JASAAN," 65,160 "
Marine Paints,2023,4,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 64,800 "
Marine Paints,2022,3,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 64,680 "
Marine Paints,2023,8,MISAMIS ORIENTAL,JASAAN," 64,680 "
Marine Paints,2022,2,BATAAN,MARIVELES," 64,260 "
Marine Paints,2022,8,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 63,780 "
Marine Paints,2023,2,QUEZON,LUCENA CITY (Capital)," 63,750 "
Marine Paints,2022,4,LAGUNA,CITY OF SANTA ROSA," 63,660 "
Marine Paints,2022,10,CEBU,CONSOLACION," 62,295 "
Marine Paints,2022,3,CEBU,CEBU CITY (Capital)," 62,220 "
Marine Paints,2023,12,CEBU,CEBU CITY (Capital)," 62,070 "
Marine Paints,2023,4,ZAMBALES,SUBIC," 61,560 "
Marine Paints,2023,3,ZAMBALES,SUBIC," 61,260 "
Marine Paints,2022,11,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG," 61,215 "
Marine Paints,2023,11,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 61,170 "
Marine Paints,2022,12,CEBU,CONSOLACION," 60,990 "
Marine Paints,2022,1,BATANGAS,BAUAN," 60,960 "
Marine Paints,2023,7,LAGUNA,CITY OF SANTA ROSA," 60,750 "
Marine Paints,2022,11,CEBU,CONSOLACION," 60,675 "
Marine Paints,2022,2,ZAMBALES,SUBIC," 60,000 "
Marine Paints,2022,8,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG," 60,000 "
Marine Paints,2023,2,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 59,520 "
Marine Paints,2022,10,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 59,520 "
Marine Paints,2022,6,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 59,400 "
Marine Paints,2023,3,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 59,325 "
Marine Paints,2023,12,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 59,280 "
Marine Paints,2022,6,QUEZON,LUCENA CITY (Capital)," 59,115 "
Marine Paints,2023,4,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 59,100 "
Marine Paints,2023,5,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 58,860 "
Marine Paints,2022,7,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 58,815 "
Marine Paints,2022,12,ZAMBALES,SUBIC," 58,620 "
Marine Paints,2022,6,BATANGAS,CALACA," 58,560 "
Marine Paints,2023,5,QUEZON,LUCENA CITY (Capital)," 58,380 "
Marine Paints,2022,12,PAMPANGA,MABALACAT CITY," 58,380 "
Marine Paints,2022,9,BATANGAS,BATANGAS CITY (Capital)," 58,020 "
Marine Paints,2023,6,CEBU,CONSOLACION," 57,195 "
Marine Paints,2023,8,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 57,135 "
Marine Paints,2023,10,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 56,640 "
Marine Paints,2023,6,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 55,635 "
Marine Paints,2023,10,MISAMIS ORIENTAL,JASAAN," 55,260 "
Marine Paints,2022,1,MISAMIS ORIENTAL,JASAAN," 54,960 "
Marine Paints,2022,11,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 54,885 "
Marine Paints,2022,12,CEBU,CEBU CITY (Capital)," 54,825 "
Marine Paints,2023,9,CEBU,SAN FERNANDO," 54,690 "
Marine Paints,2022,6,CEBU,CEBU CITY (Capital)," 54,360 "
Marine Paints,2022,10,MISAMIS ORIENTAL,JASAAN," 53,775 "
Marine Paints,2023,9,LAGUNA,CITY OF SANTA ROSA," 53,655 "
Marine Paints,2023,10,"NCR, THIRD DISTRICT (Not a Province)",CALOOCAN CITY," 53,460 "
Marine Paints,2022,11,BATAAN,MARIVELES," 53,310 "
Marine Paints,2022,7,SOUTH COTABATO,GENERAL SANTOS CITY," 51,810 "
Marine Paints,2022,2,MISAMIS ORIENTAL,JASAAN," 51,645 "
Marine Paints,2022,6,CEBU,MANDAUE CITY," 51,570 "
Marine Paints,2022,6,CEBU,CONSOLACION," 51,555 "
Marine Paints,2022,3,LAGUNA,CITY OF SANTA ROSA," 51,180 "
Marine Paints,2023,10,CAVITE,TANZA," 51,105 "
Marine Paints,2023,10,CEBU,MANDAUE CITY," 51,000 "
Marine Paints,2023,11,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG," 51,000 "
Marine Paints,2022,12,ILOILO,ILOILO CITY," 50,955 "
Marine Paints,2023,12,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF PASIG," 50,490 "
Marine Paints,2023,4,CEBU,CONSOLACION," 50,250 "
Marine Paints,2023,7,CEBU,DANAO CITY," 50,220 "
Marine Paints,2022,8,BATANGAS,CALACA," 50,220 "
Marine Paints,2022,2,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 50,100 "
Marine Paints,2022,9,QUEZON,LUCENA CITY (Capital)," 50,025 "
Marine Paints,2023,4,ALBAY,CITY OF TABACO," 49,650 "
Marine Paints,2022,5,CEBU,MANDAUE CITY," 49,320 "
Marine Paints,2022,3,CEBU,CONSOLACION," 49,290 "
Marine Paints,2022,9,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 49,260 "
Marine Paints,2022,11,ALBAY,ALBAY," 48,375 "
Marine Paints,2023,8,CEBU,MANDAUE CITY," 48,255 "
Marine Paints,2022,10,CAVITE,NAIC," 47,880 "
Marine Paints,2023,7,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 47,835 "
Marine Paints,2023,10,BATANGAS,MABINI," 47,775 "
Marine Paints,2022,7,MISAMIS ORIENTAL,VILLANUEVA," 47,760 "
Marine Paints,2023,2,MISAMIS ORIENTAL,JASAAN," 46,860 "
Marine Paints,2022,2,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 46,740 "
Marine Paints,2022,12,MISAMIS ORIENTAL,JASAAN," 46,680 "
Marine Paints,2022,3,"NCR, SECOND DISTRICT (NOT A PROVINCE)",CITY OF MANDALUYONG," 46,515 "
Marine Paints,2023,2,BATANGAS,LEMERY," 46,140 "
Marine Paints,2022,7,"NCR, THIRD DISTRICT (Not a Province)",CITY OF VALENZUELA," 45,960 "
Marine Paints,2023,3,CEBU,SAN FERNANDO," 45,900 "
Marine Paints,2022,5,CEBU,CEBU CITY (Capital)," 45,615 "
Marine Paints,2022,9,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 45,570 "
Marine Paints,2022,9,CEBU,CONSOLACION," 45,480 "
Marine Paints,2023,3,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 45,375 "
Marine Paints,2022,1,QUEZON,PAGBILAO," 45,360 "
Marine Paints,2022,3,BATANGAS,BATANGAS CITY (Capital)," 45,300 "
Marine Paints,2023,3,ILOILO,ILOILO CITY," 45,300 "
Marine Paints,2023,9,BATAAN,MARIVELES," 45,285 "
Marine Paints,2022,8,CEBU,MINGLANILLA," 45,180 "
Marine Paints,2022,1,LAGUNA,SAN PABLO CITY," 45,150 "
Marine Paints,2023,7,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 44,280 "
Marine Paints,2022,6,BATANGAS,BAUAN," 44,265 "
Marine Paints,2022,5,ZAMBOANGA DEL SUR,ZAMBOANGA CITY," 44,220 "
Marine Paints,2023,12,QUEZON,LUCENA CITY (Capital)," 44,175 "
Marine Paints,2023,2,"NCR, SECOND DISTRICT (NOT A PROVINCE)",QUEZON CITY," 44,070 "
Marine Paints,2022,8,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 43,980 "
Marine Paints,2023,9,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 43,935 "
Marine Paints,2022,4,RIZAL,CITY OF ANTIPOLO," 43,800 "
Marine Paints,2023,10,CEBU,CONSOLACION," 43,410 "
Marine Paints,2023,4,BULACAN,CITY OF MEYCAUAYAN," 42,960 "
Marine Paints,2023,10,SOUTH COTABATO,GENERAL SANTOS CITY," 42,570 "
Marine Paints,2023,8,ILOILO,ILOILO CITY," 42,555 "
Marine Paints,2022,2,QUEZON,PAGBILAO," 42,450 "
Marine Paints,2022,3,BATANGAS,BAUAN," 42,030 "
Marine Paints,2023,12,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 41,865 "
Marine Paints,2023,2,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Provinc",TONDO I / II," 41,385 "
Marine Paints,2022,9,BATAAN,MARIVELES," 41,340 "
Marine Paints,2022,4,CEBU,SAN FERNANDO," 41,085 "
Marine Paints,2022,4,CEBU,CEBU CITY (Capital)," 41,010 "
Marine Paints,2022,10,LAGUNA,CITY OF SANTA ROSA," 41,010 "
Marine Paints,2023,8,ALBAY,ALBAY," 40,980 "
Marine Paints,2023,9,ZAMBALES,SUBIC," 40,800 "
Marine Paints,2022,5,CAVITE,CITY OF GENERAL TRIAS," 40,320 "
Marine Paints,2022,1,ILOILO,ILOILO CITY," 40,185 "
Marine Paints,2023,7,CEBU,MANDAUE CITY," 39,885 "
Marine Paints,2022,3,ILOILO,ILOILO CITY," 39,465 "
Marine Paints,2023,4,"NCR, THIRD DISTRICT (Not a Province)",CITY OF MALABON," 39,360 "
Marine Paints,2023,8,BATANGAS,BATANGAS CITY (Capital)," 39,300 "
Marine Paints,2023,6,ALBAY,ALBAY," 39,030 "
Marine Paints,2023,5,BATANGAS,CALACA," 39,000 "
